PAIS,FORMATO,ZONA,CODIGO_FAMILIA,CATEGORY_NBR,CATEGORY_DESC,MARCA,FINELINE,N_FINELINE,N_MARCA,COST_UNIT,SELL_QTY,TOTAL_SKUS,ITEM_PRIMARIO,DESC_PRIMARIO,VENTAS_PRIMARIO,PRECIO_PRIMARIO,ROTACION_PRIMARIO,N_PRECIOS_DISTINTOS,SKUS_IGUAL_PRECIO,SKUS_DIFERENTE_PRECIO,SKUS_SIN_PRECIO,PCT_ALINEACION,OBSERVACIONES
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0035,6987,BEVERAGES - CARBONATED-D95,COCA-COLA,BEB COLA REGUL FAMIL,1704,1324,1154.9956,2500.0,1,9510766,REFRESC GAS COCA COLA RETORNABLE 2500ML,118420.0,1200.0,112.0,1,1,0,0,100.0,Familia con un solo articulo
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0036,6894,BEVERAGE ALCOHOL - BEER D96,IMPERIAL,CERVEZA LAGER PAQ,1000,3035,10217.2001,5250.0,4,70336679,CERVEZA IMPERIAL LATA 15PACK 5250ML,181602.0,10800.0,19.0,2,3,1,0,75.0,1/4 SKUs desalineados
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0037,6894,BEVERAGE ALCOHOL - BEER D96,PRESIDENTE,CERVEZA PILSENER UND,1275,5150,712.5102,355.0,1,75348872,CERVEZA PRESIDENTE BOTELLA 355 ML,0,950.0,,1,1,0,0,100.0,Familia con un solo articulo | Primario sin ventas registradas
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0038,6894,BEVERAGE ALCOHOL - BEER D96,LINDEMANS,CERVEZA LAGER UNIDAD,1025,3738,2131.18,250.0,1,70425772,CERVEZA LINDEMANS ARTESAN MELOCOTO 250ML,0,2590.0,,1,1,0,0,100.0,Familia con un solo articulo | Primario sin ventas registradas
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0039,6987,BEVERAGES - CARBONATED-D95,FANTA,BEB SABOR REGUL PERS,1756,2238,437.2535,355.0,2,70467922,GASEOSA FANTA NARANJA PET 355ML,19467.0,520.0,44.0,2,1,1,0,50.0,1/2 SKUs desalineados
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0040,6894,BEVERAGE ALCOHOL - BEER D96,BAVARIA,CERVEZA LAGER PAQ,1000,587,4704.19,2100.0,2,9664274,CERVEZA BAVARIA LIGHT 350ML 6PACK,0,5000.0,,1,2,0,0,100.0,Primario sin ventas registradas
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0041,6987,BEVERAGES - CARBONATED-D95,COTUBA,BEB SABOR REGUL PERS,1756,1464,537.88,600.0,1,70522371,BEBIDA GUARANA COTUBA 600 ML,8354.0,500.0,19.0,1,1,0,0,100.0,Familia con un solo articulo
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0042,6894,BEVERAGE ALCOHOL - BEER D96,KUNSTMANN,CERVEZA LAGER UNIDAD,1025,231109,950.7029,330.0,2,75378809,CERVEZA KUNSTMANN VALDIVIA PALE L 330 ML,0,1280.0,,1,2,0,0,100.0,Primario sin ventas registradas
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0043,6894,BEVERAGE ALCOHOL - BEER D96,ESTRELLA,CERVEZA LAGER UNIDAD,1025,2142,705.3121,250.0,1,75297877,CERVEZA ESTRELLA GALICIA 0.0 250 ML,0,960.0,,1,1,0,0,100.0,Familia con un solo articulo | Primario sin ventas registradas
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0044,6987,BEVERAGES - CARBONATED-D95,EVERVESS,BEB SABOR REGUL FAMI,1754,2175,1279.9171,3000.0,1,70207009,GASEOSA EVERVESS GINGER ALE 3000 ML,31350.0,1610.0,22.0,1,1,0,0,100.0,Familia con un solo articulo
