PAIS,Formato,ZONA,CODIGO_FAMILIA,DESC_PRIMARIO,SKU_PRIMARIO,PRECIO_PRIMARIO,TAMANO_PRIMARIO,MEDIDA_PRIMARIO,SKU_SECUNDARIO,AGRUPACION,DESC_SECUNDARIO,PRECIO_SECUNDARIO,TAMANO_SECUNDARIO,MEDIDA_SECUNDARIO,FACTOR_DE_CONVERSION,AHORRO_DIFERENCIAL,DIFERENCIA_ABSOLUTA,DIFERENCIA_PCT,EVALUACION,Ventas,Rotaciones,Sell_QTY,CATEGORIA,MARCA
CR,DESCUENTO,HEREDIA - GAM,75260390,LECHE SULI SEMIDESCREMADA UHT 1000ML,75260390,740.0,1000.0,ML,75260389,SECUNDARIO,LECHE SULI SEMIDESCREMADA UHT 3000ML 3PK,2200.0,3000.0,ML,3.0,0.96,1460.0,197.3,Mayor al primario - Esperado para pack,3012104.0,1386.0,3000.0,MILK&CREM-SUBSTUT-SHELF-D95,SULI
CR,WALMART,SAN JOSE,70499907,TIPO QUESO MOZZ RALLAD GREAT VALUE 227GR,70499907,1470.0,227.0,GR,75053689,SECUNDARIO,TIPO QUESO MOZZA SEMDESCRE RALLAD 2270GR,6600.0,2270.0,GR,10.0,0.86,5130.0,348.98,Mayor al primario - Esperado para pack,2961475.0,406.0,2270.0,CHEESES-D90,GREAT VALUE
CR,BODEGAS,LIMON,9514981,DOS PINOS LECHE EN POLVO PINITO 400GR,9514981,3000.0,400.0,GR,75171033,SECUNDARIO,LECHE POLVO PINITO 3 PACK 1200GR,5940.0,1200.0,GR,3.0,0.66,2940.0,98.0,Mayor al primario - Esperado para pack,2946661.0,505.0,1200.0,MILK&CREM-SUBSTUT-SHELF-D95,DOS PINOS
CR,BODEGAS,SAN JOSE,70568303,LECHE LIQ DOS PINOS PINITO TB 1L,70568303,1150.0,1000.0,ML,70050505,SECUNDARIO,LECHE DOS PINOS PINITO LIQ 2PACK 1L,1730.0,2000.0,ML,2.0,0.75,580.0,50.43,Mayor al primario - Esperado para pack,2909009.0,1702.0,2000.0,MILK&CREM-SUBSTUT-SHELF-D95,DOS PINOS
CR,DESCUENTO,RURAL NORTE,70361629,LECHE UHT PROD BIENESTAR 2PINOS 1000 ML,70361629,950.0,1000.0,ML,70156186,SECUNDARIO,LECHE PROD BIENESTAR 3 PACK 1000 ML,2350.0,3000.0,ML,3.0,0.85,1400.0,147.37,Mayor al primario - Esperado para pack,2904186.0,1252.0,3000.0,MILK&CREM-SUBSTUT-SHELF-D95,DOS PINOS
CR,WALMART,SAN JOSE,70568253,LECHE UHT DELACTOMY 2% 946 ML EDGE,70568253,1170.0,946.0,ML,70568318,SECUNDARIO,LECHE UHT DELACTOMY 2% 946 ML 3 PACK,3500.0,2838.0,ML,3.0,0.97,2330.0,199.15,Mayor al primario - Esperado para pack,2903553.0,839.0,2838.0,MILK&CREM-SUBSTUT-SHELF-D95,DOS PINOS
CR,DESCUENTO,GUANACASTE,75260390,LECHE SULI SEMIDESCREMADA UHT 1000ML,75260390,750.0,1000.0,ML,75260389,SECUNDARIO,LECHE SULI SEMIDESCREMADA UHT 3000ML 3PK,2250.0,3000.0,ML,3.0,0.96,1500.0,200.0,Mayor al primario - Esperado para pack,2861934.0,1287.0,3000.0,MILK&CREM-SUBSTUT-SHELF-D95,SULI
CR,DESCUENTO,GUANACASTE,9216954,ACEITE SOYA SABEMAS BOTE 3000 ML,9216954,3500.0,3000.0,ML,70172828,SECUNDARIO,ACEITE SABEMAS SOYA 900 ML,800.0,900.0,ML,0.3,1.07062665850173,-2700.0,-77.14,REVISAR: Precio menor al primario,2854248.0,3617.0,900.0,OILS & FATS-D92,SABEMAS
CR,SUPERMERCADOS,PE GENERAL OESTE,70185463,,,,,,70185440,SECUNDARIO,PAPA EMPACADO MALLA 2 KG,1750.0,2.0,EA,1.94,1.0,,,Sin precio,2785030.0,1738.0,2.0,VEGETABLES - PERISHABLE D94,HORTIFRUTI
CR,DESCUENTO,PE GUANACASTE,70055293,MOLIDA ESPECIAL RES MAGRA 85 GRASA 15 KG,70055293,3200.0,1.0,KG,70498829,SECUNDARIO,MOLIDA ESPECIAL 85 MAGRA 15 GRASA 500G,1580.0,500.0,GR,0.5,1.0,-1620.0,-50.63,REVISAR: Precio menor al primario,2778779.0,1844.0,500.0,BEEF -D93,DON CRISTOBAL
CR,DESCUENTO,HEREDIA - GAM,9216954,ACEITE SOYA SABEMAS BOTE 3000 ML,9216954,3330.0,3000.0,ML,70172828,SECUNDARIO,ACEITE SABEMAS SOYA 900 ML,800.0,900.0,ML,0.3,1.07062665850173,-2530.0,-75.98,REVISAR: Precio menor al primario,2777873.0,3393.0,900.0,OILS & FATS-D92,SABEMAS
CR,BODEGAS,SAN JOSE,75053384,ATUN SULI TROCITOS  VEGETALES 4PK 560 GR,75053384,1400.0,560.0,GR,75053385,SECUNDARIO,ATUN SULI TROCITOS VEGETALES 6PK 840 GR,3550.0,840.0,GR,1.5,0.92,2150.0,153.57,Mayor al primario - Esperado para pack,2773716.0,795.0,840.0,SEAFOOD-FISH-D92,SULI
CR,DESCUENTO,PE ALAJUELA GAM,70055293,MOLIDA ESPECIAL RES MAGRA 85 GRASA 15 KG,70055293,3350.0,1.0,KG,70498829,SECUNDARIO,MOLIDA ESPECIAL 85 MAGRA 15 GRASA 500G,1700.0,500.0,GR,0.5,1.0,-1650.0,-49.25,REVISAR: Precio menor al primario,2703728.0,1829.0,500.0,BEEF -D93,DON CRISTOBAL
CR,DESCUENTO,GUANACASTE,75053378,ATUN SULI TROCITOS EN ACEITE 140 GR,75053378,550.0,140.0,GR,75068000,SECUNDARIO,ATÚN SULI TROCITOS EN ACEITE 6PK 840GR,2940.0,840.0,GR,6.0,0.83,2390.0,434.55,Mayor al primario - Esperado para pack,2680249.0,923.0,840.0,SEAFOOD-FISH-D92,SULI
CR,DESCUENTO,LIMON,9216954,ACEITE SOYA SABEMAS BOTE 3000 ML,9216954,3500.0,3000.0,ML,70172828,SECUNDARIO,ACEITE SABEMAS SOYA 900 ML,800.0,900.0,ML,0.3,1.07062665850173,-2700.0,-77.14,REVISAR: Precio menor al primario,2646713.0,3349.0,900.0,OILS & FATS-D92,SABEMAS
CR,DESCUENTO,HEREDIA - GAM,9514981,DOS PINOS LECHE EN POLVO PINITO 400GR,9514981,3050.0,400.0,GR,75171033,SECUNDARIO,LECHE POLVO PINITO 3 PACK 1200GR,6200.0,1200.0,GR,3.0,0.66,3150.0,103.28,Mayor al primario - Esperado para pack,2634520.0,430.0,1200.0,MILK&CREM-SUBSTUT-SHELF-D95,DOS PINOS
CR,DESCUENTO,HEREDIA - GAM,70361629,LECHE UHT PROD BIENESTAR 2PINOS 1000 ML,70361629,950.0,1000.0,ML,70156186,SECUNDARIO,LECHE PROD BIENESTAR 3 PACK 1000 ML,2350.0,3000.0,ML,3.0,0.85,1400.0,147.37,Mayor al primario - Esperado para pack,2628735.0,1133.0,3000.0,MILK&CREM-SUBSTUT-SHELF-D95,DOS PINOS
CR,DESCUENTO,GUANACASTE,9216954,ACEITE SOYA SABEMAS BOTE 3000 ML,9216954,3500.0,3000.0,ML,70279560,SECUNDARIO,SABEMAS ACEITE  SOYA 1500 ML,1670.0,1500.0,ML,0.5,1.05,-1830.0,-52.29,REVISAR: Precio menor al primario,2622751.0,1594.0,1500.0,OILS & FATS-D92,SABEMAS
CR,DESCUENTO,SAN JOSE,70568253,LECHE UHT DELACTOMY 2% 946 ML EDGE,70568253,1170.0,946.0,ML,70568318,SECUNDARIO,LECHE UHT DELACTOMY 2% 946 ML 3 PACK,3410.0,2838.0,ML,3.0,0.97,2240.0,191.45,Mayor al primario - Esperado para pack,2604639.0,773.0,2838.0,MILK&CREM-SUBSTUT-SHELF-D95,DOS PINOS
